rule,trivial,C,P,F,A,C_std,P_std,F_std,A_std,classification,computed
0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
1,False,0.63,1.0,0.513,0.447,0.014,0.0,0.409,0.019,LIFE-LIKE,True
2,False,0.613,1.0,0.237,0.142,0.017,0.0,0.054,0.022,LIFE-LIKE,True
3,False,0.76,1.0,0.296,0.438,0.037,0.0,0.166,0.009,LIFE-LIKE,True
4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
5,False,0.527,1.0,0.664,0.308,0.083,0.0,0.028,0.032,LIFE-LIKE,True
6,False,0.497,1.0,0.296,0.164,0.031,0.0,0.052,0.028,LIFE-LIKE,True
7,False,0.603,1.0,0.231,0.468,0.057,0.0,0.078,0.014,LIFE-LIKE,True
8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
9,False,0.503,0.833,0.506,0.303,0.019,0.062,0.167,0.005,LIFE-LIKE,True
10,False,0.513,1.0,0.517,0.189,0.017,0.0,0.036,0.011,LIFE-LIKE,True
11,False,0.6,0.983,0.512,0.307,0.024,0.024,0.165,0.019,LIFE-LIKE,True
12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
13,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
14,False,0.357,0.7,0.967,0.216,0.019,0.071,0.023,0.013,LIFE-LIKE,True
15,False,0.5,1.0,0.55,0.24,0.086,0.0,0.122,0.041,LIFE-LIKE,True
16,False,0.623,1.0,0.371,0.111,0.017,0.0,0.126,0.029,LIFE-LIKE,True
17,False,0.777,1.0,0.333,0.438,0.041,0.0,0.09,0.01,LIFE-LIKE,True
18,False,0.727,0.75,0.448,0.274,0.031,0.255,0.119,0.004,LIFE-LIKE,True
19,False,0.877,1.0,0.678,0.498,0.021,0.0,0.032,0.0,LIFE-LIKE,True
20,False,0.49,1.0,0.178,0.178,0.008,0.0,0.046,0.021,LIFE-LIKE,True
21,False,0.637,1.0,0.201,0.458,0.046,0.0,0.041,0.004,LIFE-LIKE,True
22,False,0.603,0.3,0.416,0.262,0.017,0.216,0.079,0.011,COMPUTING,True
23,False,0.75,1.0,0.776,0.497,0.049,0.0,0.088,0.001,LIFE-LIKE,True
24,False,0.55,1.0,0.412,0.174,0.024,0.0,0.037,0.02,LIFE-LIKE,True
25,False,0.667,0.8,0.519,0.348,0.049,0.041,0.013,0.007,LIFE-LIKE,True
26,False,0.627,0.933,0.645,0.302,0.075,0.062,0.035,0.012,LIFE-LIKE,True
27,False,0.74,1.0,0.57,0.394,0.016,0.0,0.078,0.015,LIFE-LIKE,True
28,False,0.403,1.0,1.0,0.09,0.005,0.0,0.0,0.018,LIFE-LIKE,True
29,False,0.513,1.0,0.819,0.209,0.025,0.0,0.033,0.02,LIFE-LIKE,True
30,False,0.52,0.033,0.617,0.254,0.029,0.024,0.066,0.004,COMPUTING,True
31,False,0.6,1.0,0.117,0.456,0.024,0.0,0.036,0.013,LIFE-LIKE,True
32,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
33,False,0.723,1.0,0.585,0.406,0.039,0.0,0.023,0.012,LIFE-LIKE,True
34,False,0.73,1.0,0.597,0.264,0.079,0.0,0.066,0.024,LIFE-LIKE,True
35,False,0.89,0.967,0.87,0.372,0.029,0.047,0.046,0.015,LIFE-LIKE,True
36,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
37,False,0.62,0.917,0.58,0.383,0.016,0.047,0.177,0.022,LIFE-LIKE,True
38,False,0.647,1.0,0.536,0.207,0.012,0.0,0.089,0.011,LIFE-LIKE,True
39,False,0.76,1.0,0.407,0.426,0.014,0.0,0.021,0.01,LIFE-LIKE,True
40,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
41,False,0.663,0.183,0.494,0.305,0.033,0.047,0.179,0.005,COMPUTING,True
42,False,0.643,1.0,0.529,0.285,0.049,0.0,0.069,0.041,LIFE-LIKE,True
43,False,0.75,0.633,0.867,0.289,0.033,0.047,0.118,0.015,LIFE-LIKE,True
44,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
45,False,0.523,0.033,0.633,0.246,0.054,0.024,0.049,0.006,COMPUTING,True
46,False,0.477,1.0,0.473,0.214,0.039,0.0,0.093,0.012,LIFE-LIKE,True
47,False,0.59,0.967,0.789,0.293,0.024,0.024,0.122,0.02,LIFE-LIKE,True
